Source,County ID,County,SCC,General Emissions Description,Specific Emissions Description,PolName,Tons/day
Area,49003,Box Elder,2104008030,Residential,Catalytic Woodstoves: General,PM2_5,0.01278
Area,49003,Box Elder,2104011000,Residential,Total: All Heater Types,CO,0
Area,49003,Box Elder,2104011000,Residential,Total: All Heater Types,NOX,0.000029
Area,49003,Box Elder,2104011000,Residential,Total: All Heater Types,VOC,0.000001
Area,49003,Box Elder,2104011000,Residential,Total: All Heater Types,NH3,0.000067
Area,49003,Box Elder,2104011000,Residential,Total: All Heater Types,SO2,0.000068
Area,49003,Box Elder,2104011000,Residential,Total: All Heater Types,PM10,0.000004
Area,49003,Box Elder,2104011000,Residential,Total: All Heater Types,PM2_5,0.000003
NonRoad,49003,Box Elder,2260002006,Off-highway Vehicle Gasoline 2-Stroke,Tampers/Rammers,CO,0.003753
NonRoad,49003,Box Elder,2260002006,Off-highway Vehicle Gasoline 2-Stroke,Tampers/Rammers,NOX,0.000022
NonRoad,49003,Box Elder,2260002006,Off-highway Vehicle Gasoline 2-Stroke,Tampers/Rammers,VOC,0.000848
NonRoad,49003,Box Elder,2260002006,Off-highway Vehicle Gasoline 2-Stroke,Tampers/Rammers,NH3,0
NonRoad,49003,Box Elder,2260002006,Off-highway Vehicle Gasoline 2-Stroke,Tampers/Rammers,SO2,0
NonRoad,49003,Box Elder,2260002006,Off-highway Vehicle Gasoline 2-Stroke,Tampers/Rammers,PM10,0.000135
NonRoad,49003,Box Elder,2260002006,Off-highway Vehicle Gasoline 2-Stroke,Tampers/Rammers,PM2_5,0.000133
NonRoad,49003,Box Elder,2260002009,Off-highway Vehicle Gasoline 2-Stroke,Plate Compactors,CO,0.000137
NonRoad,49003,Box Elder,2260002009,Off-highway Vehicle Gasoline 2-Stroke,Plate Compactors,NOX,0.000001
NonRoad,49003,Box Elder,2260002009,Off-highway Vehicle Gasoline 2-Stroke,Plate Compactors,VOC,0.00003
NonRoad,49003,Box Elder,2260002009,Off-highway Vehicle Gasoline 2-Stroke,Plate Compactors,NH3,0
NonRoad,49003,Box Elder,2260002009,Off-highway Vehicle Gasoline 2-Stroke,Plate Compactors,SO2,0
NonRoad,49003,Box Elder,2260002009,Off-highway Vehicle Gasoline 2-Stroke,Plate Compactors,PM10,0.000005
NonRoad,49003,Box Elder,2260002009,Off-highway Vehicle Gasoline 2-Stroke,Plate Compactors,PM2_5,0.000005
NonRoad,49003,Box Elder,2260002021,Off-highway Vehicle Gasoline 2-Stroke,Paving Equipment,CO,0.000164
NonRoad,49003,Box Elder,2260002021,Off-highway Vehicle Gasoline 2-Stroke,Paving Equipment,NOX,0.000002
NonRoad,49003,Box Elder,2260002021,Off-highway Vehicle Gasoline 2-Stroke,Paving Equipment,VOC,0.000036
NonRoad,49003,Box Elder,2260002021,Off-highway Vehicle Gasoline 2-Stroke,Paving Equipment,NH3,0
