,Day,,,,,,,,,Last week,,,,,,,Day of Week,,,,,,
Date,Time,Percent,#,Spacing,# >60 dB,# >50 dB,Longest,Loudest,dB at Source,Avg time,Avg Percent,Avg Spacing,Avg dB,Total >60 dB,Total >50 dB,Day of Week,dB,Time,%,#,>50,>60,
9/28,2m 10s,3.61111111111111,9,0h 6m 40s,1,3,31,63,99,2m 56s,4.90866290018832,0:06:58,58.4285714285714,3,25,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
9/29,2m 33s,4.25,9,0h 6m 40s,1,3,30,62,98,3m 8s,5.24993274145817,0:05:46,59.2857142857143,4,26,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
9/30,9s,0.25,1,1h,0,0,9,41,77,2m 33s,4.28564702717245,0:13:48,56.5714285714286,3,21,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
10/1,3m 49s,6.36111111111111,15,0h 4m,0,3,36,55,91,2m 54s,4.85310734463277,0:12:57,56.8571428571429,3,22,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
10/2,1m 26s,2.38888888888889,9,0h 6m 40s,0,1,16,54,90,2m 39s,4.44437718590261,0:13:11,56.8571428571429,3,19,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
10/3,1m 16s,2.11111111111111,7,0h 8m 34s 286ms,0,0,25,49,85,2m 28s,4.1348533763788,0:13:45,56.1428571428571,3,15,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
10/4,1m 33s,2.58333333333333,5,0h 12m,0,2,28,54,90,1m 51s,3.07936507936508,0:14:56,54,2,12,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
10/5,5m 21s,8.91666666666667,7,0h 8m 34s 286ms,0,1,134,55,91,2m 18s,3.83730158730159,0:15:13,52.8571428571429,1,10,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
10/6,3s,0.0833333333333333,1,1h,0,0,3,49,85,1m 57s,3.24206349206349,0:22:50,51,0,7,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
10/7,1m 36s,2.66666666666667,7,0h 8m 34s 286ms,0,0,18,49,85,2m 9s,3.58730158730159,0:15:29,52.1428571428571,0,7,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
10/8,5m 49s,9.69444444444444,15,0h 4m,0,2,48,57,93,2m 26s,4.06349206349206,0:15:29,52.4285714285714,0,6,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
